repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
collaboratory	FI252739	8a469eb6-e609-559f-866a-d7d3e277305f	VCF	39a5d94d-e8c8-4057-be96-362ffbafb94d.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	200304	c54c90b9db7654150a31e601ef86ae36	32e7dc21-127e-57b2-96bd-e2c84cc62cf5	DO7024	CLLE-ES	PCAWG
collaboratory	FI252749	bba52105-d26f-5aed-b388-3eb71cfe7304	VCF	b7722577-f200-4dec-97f6-4fab3a9ba52d.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	217294	7d2a5bfdeb44b9c6acddcd246d364b64	4cf963eb-8772-5ba1-9238-34185411013a	DO6456	CLLE-ES	PCAWG
collaboratory	FI252751	2306fbd1-5395-5aba-ac41-779684bdf19b	VCF	b7722577-f200-4dec-97f6-4fab3a9ba52d.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1260500	01ab55096b58d89e3cd9ad8624252cc6	34d4c73c-30fa-5ead-bf16-9a3bbd225d02	DO6456	CLLE-ES	PCAWG
collaboratory	FI252765	a367082f-4e81-5771-bcba-c83ea54cd473	VCF	14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1197717	82ad8fbf1c8694a33f5ed518675d6934	a4ae9410-6411-58d9-94e0-0a36233a0166	DO52703	CLLE-ES	PCAWG
collaboratory	FI252769	742006a9-4095-595f-80e4-fadb06c44100	VCF	14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	393492	77201e7f3ac28346a09568cc6ed97dc7	0ebc44f7-024c-5aa1-9b1c-b4c35e66bc58	DO52703	CLLE-ES	PCAWG
collaboratory	FI252781	2b75e675-fd14-57af-a884-5a610399c944	VCF	4808f9e1-452d-45eb-9b87-2f87c67d3452.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1225197	74e53580554685bf0ba8f0b37d207819	8a3e3c96-974f-56de-b52a-d2c4d4eb00c0	DO6934	CLLE-ES	PCAWG
collaboratory	FI252785	7a941548-f824-58a4-925a-f5d167edd21b	VCF	4808f9e1-452d-45eb-9b87-2f87c67d3452.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	304183	d22319a0401378646f57c8068692efa8	75ab4513-0fc2-5a81-a82d-8cd1a97063f6	DO6934	CLLE-ES	PCAWG
collaboratory	FI252797	c7f9c853-5933-5fc6-9eef-d180db874f2d	VCF	79524d64-8f4a-4889-b345-33198808b9de.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1266434	060ace18505fe67deb04015a1ad6fedf	0935858c-2d47-58c8-bddd-b24f3c6d0cb4	DO6940	CLLE-ES	PCAWG
collaboratory	FI252801	e284c56a-4516-579f-aeb3-d03b2c781772	VCF	79524d64-8f4a-4889-b345-33198808b9de.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	218378	858e8a87e739c38ba4a7505b90b72e8b	738e8b14-d60b-5f05-b69e-e680b21df4d6	DO6940	CLLE-ES	PCAWG
collaboratory	FI252813	c2d0775b-749b-56ad-ae8b-68cc6e8cc0a1	VCF	fa9996c3-b874-4424-a5a6-f1c7c0f42b9b.dkfz-indelCalling_1-0-132-1.20150602.somatic.indel.vcf.gz	1174456	212aa0de677707ad49167b78d7e67e7d	df558605-1a52-573d-8bfd-708c78ec1fb3	DO6946	CLLE-ES	PCAWG
collaboratory	FI252819	4fb0164b-3a03-53b7-b061-bdb42d09eb2d	VCF	fa9996c3-b874-4424-a5a6-f1c7c0f42b9b.dkfz-snvCalling_1-0-132-1.20150602.somatic.snv_mnv.vcf.gz	250909	252d03690a56601fb2332508d29c7e95	a950ee52-425d-599d-834e-0e3953c757ec	DO6946	CLLE-ES	PCAWG
